CustomerID,total_compras,total_gasto,ticket_medio,primeira_compra,ultima_compra,dias_entre_compras,cluster
12346.0,1,77183.6,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,0.0,2
12347.0,7,4310.0,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,52.142857142857146,0
12348.0,4,1797.24,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,70.5,0
12349.0,1,1757.55,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,0.0,1
12350.0,1,334.40000000000003,19.67058823529412,2011-02-02 16:01:00,2011-02-02 16:01:00,0.0,1
12352.0,8,2506.04,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,32.5,1
12353.0,1,89.0,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,0.0,1
12354.0,1,1079.4,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,0.0,1
12355.0,1,459.40000000000003,35.338461538461544,2011-05-09 13:49:00,2011-05-09 13:49:00,0.0,1
12356.0,3,2811.43,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,100.66666666666667,0
12357.0,1,6207.67,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,0.0,1
12358.0,2,1168.06,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,74.5,0
12359.0,4,6310.03,25.755224489795918,2011-01-12 12:43:00,2011-10-13 12:47:00,68.5,0
12360.0,3,2662.06,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,49.333333333333336,0
12361.0,1,189.9,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,0.0,1
12362.0,10,5226.2300000000005,19.64748120300752,2011-02-17 10:30:00,2011-12-06 15:40:00,29.2,1
12363.0,2,552.0,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,66.0,0
12364.0,4,1313.1,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,26.0,1
12365.0,2,641.38,29.153636363636362,2011-02-21 13:51:00,2011-02-21 14:04:00,0.0,1
12367.0,1,168.9,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,0.0,1
12370.0,4,3541.94,21.33698795180723,2010-12-14 12:58:00,2011-10-19 14:51:00,77.25,0
12371.0,2,1887.96,29.96761904761905,2011-10-11 10:43:00,2011-10-26 10:16:00,7.0,1
12372.0,3,1298.04,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,74.66666666666667,0
12373.0,1,364.6,26.042857142857144,2011-02-01 13:10:00,2011-02-01 13:10:00,0.0,1
12374.0,1,742.9300000000001,22.513030303030305,2011-11-14 15:37:00,2011-11-14 15:37:00,0.0,1
12375.0,2,457.5,26.91176470588235,2011-09-02 14:23:00,2011-11-29 10:36:00,43.5,0
12377.0,2,1628.1200000000001,21.144415584415587,2010-12-20 09:37:00,2011-01-28 15:45:00,19.5,1
12378.0,1,4008.62,18.30420091324201,2011-08-02 10:34:00,2011-08-02 10:34:00,0.0,1
12379.0,2,852.24,21.306,2011-06-22 16:32:00,2011-09-19 10:09:00,44.0,0
12380.0,4,2724.81,26.200096153846154,2011-06-07 09:49:00,2011-11-18 11:27:00,41.0,1
12381.0,5,1845.31,21.21045977011494,2011-08-12 09:57:00,2011-12-05 12:44:00,23.0,1
12383.0,5,1850.56,18.69252525252525,2010-12-22 14:28:00,2011-06-08 08:02:00,33.4,1
12384.0,2,585.27,21.676666666666666,2011-08-10 11:23:00,2011-11-11 08:39:00,46.0,0
12386.0,2,401.9,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,14.5,1
12388.0,6,2780.6600000000003,27.806600000000003,2011-01-17 11:12:00,2011-11-24 12:30:00,51.833333333333336,0
12390.0,1,549.84,17.1825,2011-09-21 09:33:00,2011-09-21 09:33:00,0.0,1
12391.0,1,439.66,4.72752688172043,2011-11-18 12:07:00,2011-11-18 12:07:00,0.0,1
12393.0,4,1582.6000000000001,24.728125000000002,2011-01-11 09:47:00,2011-09-28 15:41:00,65.0,0
12394.0,2,1272.48,47.12888888888889,2011-05-06 14:01:00,2011-10-07 08:08:00,76.5,0
12395.0,12,3018.63,19.350192307692307,2010-12-03 16:35:00,2011-11-20 15:21:00,29.25,1
12397.0,2,2409.9,19.126190476190477,2011-07-27 14:21:00,2011-11-04 09:52:00,49.5,0
12398.0,1,1635.6599999999999,19.24305882352941,2011-10-25 10:27:00,2011-10-25 10:27:00,0.0,1
12399.0,4,1108.65,18.790677966101697,2011-03-23 09:42:00,2011-08-12 13:15:00,35.5,1
12401.0,1,84.3,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,0.0,1
